Radionuclide,Solubility Type
H-3,S
Pu-239,S
Sr-89 ,M
Y-90  ,S
Sr-90 ,M
Sr-91 ,M
Sr-92 ,M
Y-91  ,S
Y-92  ,S
Y-93  ,S
Zr-97 ,S
Nb-97 ,S
Mo-99 ,M
Tc-99m,M
Ru-103,S
Ru-105,S
Ru-106,S
Rh-103m,M
Rh-105,M
Te-132,F
I-131 ,F
I-132 ,F
I-133 ,F
I-135 ,F
Cs-137,M
Ba-140,M
La-140,S
La-141,S
La-142,S
Ce-143,S
Ce-144,S
Pr-143,S
Pr-144,S
Pr-145,S
Np-239,S
