!Particle sizes in microns
distribution,sizes
AMTD,0.0006
AMTD,0.001
AMTD,0.002
AMTD,0.003
AMTD,0.005
AMTD,0.01
AMTD,0.02
AMTD,0.03
AMTD,0.05
AMTD,0.1
AMTD,0.2
AMAD,0.3
AMAD,0.5
AMAD,0.7
AMAD,1
AMAD,2
AMAD,3
AMAD,5
AMAD,7
AMAD,10
AMAD,15
AMAD,20
