,AMAD,AMTD,Nuclide,Subject,Activity,Solubility,f1,CED,Gonads,R-Marrow,Colon,Lungs,Stomach,Bladder,Breasts,Liver,Oesophagus,Thyroid,Skin,Bone Surface,Muscle,Brain,SI-Wall,Kidneys,Pancreas,Spleen,Thymus,Uterus,Adrenals,Extrathoracic Tissues,Remainder
0,0.000926160023234729,0.0006,H-3,AdultMale,MemberOfPublicFullDay,S,0.01,1.5166998041253717e-11,1.0938176270780679e-13,1.0938176270780679e-13,9.50313356407517e-11,2.713525905518978e-11,3.5667289098216004e-12,1.0938176270780679e-13,1.0938176270780679e-13,1.0938176270780679e-13,1.0938176270780679e-13,1.0938176270780679e-13,1.0938176270780679e-13,1.0938176270780679e-13,1.0938176270780679e-13,1.0938176270780679e-13,8.661239611447158e-12,1.0938176270780679e-13,1.0938176270780679e-13,1.0938176270780679e-13,1.0938176270780679e-13,1.0938176270780679e-13,1.0938176270780679e-13,4.0043151831594215e-12,2.892793712908522e-13
1,0.001625359248750777,0.001,H-3,AdultMale,MemberOfPublicFullDay,S,0.01,1.927967340137395e-11,1.2225249171589882e-13,1.2225249171589882e-13,1.0130500031601083e-10,5.481943928349533e-11,3.807702558470154e-12,1.2225249171589882e-13,1.2225249171589882e-13,1.2225249171589882e-13,1.2225249171589882e-13,1.2225249171589882e-13,1.2225249171589882e-13,1.2225249171589882e-13,1.2225249171589882e-13,1.2225249171589882e-13,9.238582651065428e-12,1.2225249171589882e-13,1.2225249171589882e-13,1.2225249171589882e-13,1.2225249171589882e-13,1.2225249171589882e-13,1.2225249171589882e-13,3.7246877841160274e-12,3.1374744608823587e-13
2,0.003840888687464508,0.002,H-3,AdultMale,MemberOfPublicFullDay,S,0.01,3.311882936715793e-11,1.5192769434815407e-13,1.5192769434815407e-13,1.1381191910004215e-10,1.5698666890583676e-10,4.291969173299214e-12,1.5192769434815407e-13,1.5192769434815407e-13,1.5192769434815407e-13,1.5192769434815407e-13,1.5192769434815407e-13,1.5192769434815407e-13,1.5192769434815407e-13,1.5192769434815407e-13,1.5192769434815407e-13,1.0393241931009645e-11,1.5192769434815407e-13,1.5192769434815407e-13,1.5192769434815407e-13,1.5192769434815407e-13,1.5192769434815407e-13,1.5192769434815407e-13,3.106627070447843e-12,3.665033198229798e-13
3,0.005955571191067876,0.003,H-3,AdultMale,MemberOfPublicFullDay,S,0.01,6.989537784891122e-11,1.8856054605161505e-13,1.8856054605161505e-13,1.2112072801361182e-10,4.5564653733802574e-10,4.593585014660933e-12,1.8856054605161505e-13,1.8856054605161505e-13,1.8856054605161505e-13,1.8856054605161505e-13,1.8856054605161505e-13,1.8856054605161505e-13,1.8856054605161505e-13,1.8856054605161505e-13,1.8856054605161505e-13,1.1085704192372416e-11,1.8856054605161505e-13,1.8856054605161505e-13,1.8856054605161505e-13,1.8856054605161505e-13,1.8856054605161505e-13,1.8856054605161505e-13,2.587439807209299e-12,4.1650165569882184e-13
4,0.009876931143294482,0.005,H-3,AdultMale,MemberOfPublicFullDay,S,0.01,2.077969810913116e-10,2.8468208260181855e-13,2.8468208260181855e-13,1.2448760302326688e-10,1.6007292033486735e-09,4.809009459306757e-12,2.8468208260181855e-13,2.8468208260181855e-13,2.8468208260181855e-13,2.8468208260181855e-13,2.8468208260181855e-13,2.8468208260181855e-13,2.8468208260181855e-13,2.8468208260181855e-13,2.8468208260181855e-13,1.1477243662028842e-11,2.8468208260181855e-13,2.8468208260181855e-13,2.8468208260181855e-13,2.8468208260181855e-13,2.8468208260181855e-13,2.8468208260181855e-13,1.9799177500726346e-12,5.184152565376463e-13
5,0.01951282699012747,0.01,H-3,AdultMale,MemberOfPublicFullDay,S,0.01,5.509915658391019e-10,4.976003852034606e-13,4.976003852034606e-13,1.182390238337239e-10,4.46582443549585e-09,4.786860721485547e-12,4.976003852034606e-13,4.976003852034606e-13,4.976003852034606e-13,4.976003852034606e-13,4.976003852034606e-13,4.976003852034606e-13,4.976003852034606e-13,4.976003852034606e-13,4.976003852034606e-13,1.1108731163994381e-11,4.976003852034606e-13,4.976003852034606e-13,4.976003852034606e-13,4.976003852034606e-13,4.976003852034606e-13,4.976003852034606e-13,1.4548887969702565e-12,7.18864114094001e-13
6,0.03811216595919334,0.02,H-3,AdultMale,MemberOfPublicFullDay,S,0.01,8.071832429941307e-10,6.450790057145091e-13,6.450790057145091e-13,1.0560122237500111e-10,6.612934431957763e-09,4.46882897804708e-12,6.450790057145091e-13,6.450790057145091e-13,6.450790057145091e-13,6.450790057145091e-13,6.450790057145091e-13,6.450790057145091e-13,6.450790057145091e-13,6.450790057145091e-13,6.450790057145091e-13,1.0104546073437169e-11,6.450790057145091e-13,6.450790057145091e-13,6.450790057145091e-13,6.450790057145091e-13,6.450790057145091e-13,6.450790057145091e-13,1.1799062469221716e-12,8.421676692357375e-13
7,0.05592220309064969,0.03,H-3,AdultMale,MemberOfPublicFullDay,S,0.01,7.94350386507117e-10,6.217169702266415e-13,6.217169702266415e-13,9.341657864231544e-11,6.518779088519511e-09,4.0024718859322325e-12,6.217169702266415e-13,6.217169702266415e-13,6.217169702266415e-13,6.217169702266415e-13,6.217169702266415e-13,6.217169702266415e-13,6.217169702266415e-13,6.217169702266415e-13,6.217169702266415e-13,8.985254257733387e-12,6.217169702266415e-13,6.217169702266415e-13,6.217169702266415e-13,6.217169702266415e-13,6.217169702266415e-13,6.217169702266415e-13,1.0237743679348617e-12,7.959361790456664e-13
8,0.08968701655613677,0.05,H-3,AdultMale,MemberOfPublicFullDay,S,0.01,6.685730046429414e-10,5.185771018166668e-13,5.185771018166668e-13,7.489366203944039e-11,5.490495844134294e-09,3.2282768135524276e-12,5.185771018166668e-13,5.185771018166668e-13,5.185771018166668e-13,5.185771018166668e-13,5.185771018166668e-13,5.185771018166668e-13,5.185771018166668e-13,5.185771018166668e-13,5.185771018166668e-13,7.222003526030033e-12,5.185771018166668e-13,5.185771018166668e-13,5.185771018166668e-13,5.185771018166668e-13,5.185771018166668e-13,5.185771018166668e-13,8.190425913986149e-13,6.582038879017811e-13
9,0.167566269892856,0.1,H-3,AdultMale,MemberOfPublicFullDay,S,0.01,4.744854293763174e-10,3.6912746190009767e-13,3.6912746190009767e-13,5.4583052759571036e-11,3.895106804641478e-09,2.3442772792116675e-12,3.6912746190009767e-13,3.6912746190009767e-13,3.6912746190009767e-13,3.6912746190009767e-13,3.6912746190009767e-13,3.6912746190009767e-13,3.6912746190009767e-13,3.6912746190009767e-13,3.6912746190009767e-13,5.255332109809412e-12,3.6912746190009767e-13,3.6912746190009767e-13,3.6912746190009767e-13,3.6912746190009767e-13,3.6912746190009767e-13,3.6912746190009767e-13,7.016735784753323e-13,4.709602432999539e-13
